Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Test_Used,F_Statistic,P_Value,Effect_Size,Decision,Pooling_Recommendation
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Leadership_Avg,Kruskal-Wallis,86.84281647728606,1.0436293800992128e-18,0.7298,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Status_Score,Kruskal-Wallis,97.1072441532485,6.50730153288557e-21,0.816,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Warmth_Score,Kruskal-Wallis,20.663974068738444,0.00012362044144118874,0.1736,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Hireability_Score,Kruskal-Wallis,29.790213996529744,1.5276386154421027e-06,0.2503,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Competence_Score,Kruskal-Wallis,20.823336214347368,0.00011455447857549407,0.175,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Fit_Score,Kruskal-Wallis,32.06594202898537,5.068643327747832e-07,0.2695,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Performance_Score,Kruskal-Wallis,24.018272914824696,2.4761508730894734e-05,0.2018,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Leadership_Avg,Kruskal-Wallis,37.41242791500903,3.763722265857394e-08,0.3144,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Status_Score,Kruskal-Wallis,53.87408194716439,1.1936299644824027e-11,0.4527,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Warmth_Score,Kruskal-Wallis,14.651651651651562,0.002139883975297511,0.1231,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Hireability_Score,Kruskal-Wallis,78.10494908920566,7.824606119278489e-17,0.6563,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Competence_Score,Kruskal-Wallis,81.45508039028971,1.4958567468365488e-17,0.6845,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Fit_Score,Kruskal-Wallis,82.18678414096915,1.042074205752599e-17,0.6906,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Performance_Score,Kruskal-Wallis,74.02991217130226,5.84796122327821e-16,0.6221,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Leadership_Avg,Kruskal-Wallis,82.40282813286962,9.365737475674314e-18,0.6925,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Status_Score,Kruskal-Wallis,77.14191606297065,1.2587957134227845e-16,0.6483,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Warmth_Score,Kruskal-Wallis,8.745233831674529,0.03287710781192825,0.0735,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Hireability_Score,Kruskal-Wallis,29.706732014424095,1.5906567718373715e-06,0.2496,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Competence_Score,Kruskal-Wallis,9.596907287982658,0.022322465866412674,0.0806,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Fit_Score,Kruskal-Wallis,23.02611111111106,3.9880093289924015e-05,0.1935,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Performance_Score,Kruskal-Wallis,14.75983548766149,0.0020338244217863663,0.124,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Leadership_Avg,Kruskal-Wallis,66.20489417989421,2.7707178776208018e-14,0.5563,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Status_Score,Kruskal-Wallis,47.866666666666646,2.2732460853258276e-10,0.4022,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Warmth_Score,Kruskal-Wallis,17.22289318303812,0.0006359242555111789,0.1447,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Hireability_Score,Kruskal-Wallis,90.46522157996138,1.7403280509076862e-19,0.7602,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Competence_Score,Kruskal-Wallis,77.89596183069632,8.675131379694028e-17,0.6546,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Fit_Score,Kruskal-Wallis,99.63741761727304,1.8597557595111734e-21,0.8373,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Performance_Score,Kruskal-Wallis,85.93029714791922,1.6385319223035046e-18,0.7221,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Leadership_Avg,Kruskal-Wallis,91.0050726990237,1.332503429232365e-19,0.7647,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Status_Score,Kruskal-Wallis,88.90560293263287,3.7635983766320345e-19,0.7471,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Warmth_Score,Kruskal-Wallis,5.308807686961303,0.15053189356151128,0.0446,Fail to Reject H0 (Models Equivalent),Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Hireability_Score,Kruskal-Wallis,49.67668570951439,9.36167733609933e-11,0.4175,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Competence_Score,Kruskal-Wallis,38.58951932677221,2.120377865088799e-08,0.3243,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Fit_Score,Kruskal-Wallis,37.11161770767867,4.3578467084565045e-08,0.3119,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Performance_Score,Kruskal-Wallis,42.007954763273844,3.9965621641437375e-09,0.353,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Leadership_Avg,Kruskal-Wallis,28.52745754445798,2.814534404798154e-06,0.2397,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Status_Score,Kruskal-Wallis,23.872350434445753,2.6560678991768738e-05,0.2006,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Warmth_Score,Kruskal-Wallis,21.32360618756033,9.017872168229314e-05,0.1792,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Hireability_Score,Kruskal-Wallis,60.095244755244735,5.609162028959059e-13,0.505,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Competence_Score,Kruskal-Wallis,83.06882614624546,6.7395287395690275e-18,0.6981,Reject H0 (Models Differ),Do Not Pool
