Analysis_Step,Model_Provider,Model_Name,Outcome,Prompt_Version,N,R_Squared,Term,Coefficient,Std_Error,T_statistic,P_Value,CI_Lower,CI_Upper,Significant_Alpha_0.05,Interaction_Direction
Step_2a,minimax,MiniMax-M3,Competence_Score,pooled,5760,0.0860441789221539,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0631944444444435,0.0198029682805402,3.1911602113983384,0.0014246412219873,0.0243731765676943,0.1020157123211926,True,Positive
Step_2a,minimax,MiniMax-M3,Fit_Score,pooled,5760,0.2142146025112933,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0180555555555582,0.0254622025095684,0.7091120867793412,0.4782836428038446,-0.0318599404626489,0.0679710515737654,False,Positive
Step_2a,minimax,MiniMax-M3,Hireability_Score,pooled,5760,0.1803091098957151,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0409722222222235,0.0245934857655203,1.6659786503166598,0.0957720803873203,-0.0072402621589429,0.08918470660339,False,Positive
Step_2a,minimax,MiniMax-M3,Leadership_Avg,pooled,5759,0.1703440388346571,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0458470147092851,0.0225502102674536,2.033108080391401,0.0420874051773422,0.0016401173865557,0.0900539120320146,True,Positive
Step_2a,minimax,MiniMax-M3,Performance_Score,pooled,5760,0.2433856259413418,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.06527777777778,0.0245774485971762,2.656003023246271,0.0079290899911617,0.0170967322798884,0.1134588232756715,True,Positive
Step_2a,minimax,MiniMax-M3,Status_Score,pooled,5760,0.2070361903948032,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0625000000000006,0.0223061096416804,2.8019229262289307,0.0050968742816381,0.01877163335212,0.1062283666478812,True,Positive
Step_2a,minimax,MiniMax-M3,Warmth_Score,pooled,5760,0.0264064150357553,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0395833333333351,0.0153248125669086,-2.5829570939620337,0.00982019907298,-0.0696257312906933,-0.0095409353759769,True,Negative
Step_2a,mistral,mistral-medium-latest,Competence_Score,pooled,5760,0.2245659455877408,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0722222222222196,0.026752202466007,-2.699673879711006,0.0069610335464523,-0.1246666034641188,-0.0197778409803204,True,Negative
Step_2a,mistral,mistral-medium-latest,Fit_Score,pooled,5760,0.2021523119603099,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.2958333333333294,0.0476767688223571,-6.20497866446444,5.851826182009388e-10,-0.3892977366354021,-0.2023689300312566,True,Negative
Step_2a,mistral,mistral-medium-latest,Hireability_Score,pooled,5760,0.2471073636268906,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.1291666666666623,0.0347586867443132,-3.716097435349589,0.0002042426616213,-0.1973067692022496,-0.061026564131075,True,Negative
Step_2a,mistral,mistral-medium-latest,Leadership_Avg,pooled,5760,0.1544058987841942,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.1179930555555523,0.0365706725379802,-3.226439312348204,0.0012604224781036,-0.189685331931358,-0.0463007791797466,True,Negative
Step_2a,mistral,mistral-medium-latest,Performance_Score,pooled,5760,0.1965625617405255,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.2312499999999966,0.0414594548709638,-5.577738557338169,2.5476593208530353e-08,-0.3125261289503869,-0.1499738710496063,True,Negative
Step_2a,mistral,mistral-medium-latest,Status_Score,pooled,5760,0.1389420337824263,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0437499999999975,0.0355397399220018,-1.2310163241490957,0.2183670562708407,-0.1134212606027736,0.0259212606027785,False,Negative
Step_2a,mistral,mistral-medium-latest,Warmth_Score,pooled,5760,0.1171522453172836,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0333333333333321,0.0216197633891895,1.5417991738984371,0.1231773738365044,-0.0090495364503064,0.0757162031169706,False,Positive
Step_2a,openai,gpt-4.1-mini,Competence_Score,pooled,5760,0.2850203915661105,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.09444444444444,0.0236351431291267,-3.9959328330891872,6.52446712448296e-05,-0.1407782167215375,-0.0481106721673424,True,Negative
Step_2a,openai,gpt-4.1-mini,Fit_Score,pooled,5760,0.3947628406469239,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0583333333333261,0.0307213900822572,-1.8987856075892808,0.0576426301247616,-0.1185588155455754,0.0018921488789231,False,Negative
Step_2a,openai,gpt-4.1-mini,Hireability_Score,pooled,5760,0.3867338757248596,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0694444444444375,0.0286446959380685,-2.42433868366347,0.0153668913142433,-0.125598824863889,-0.013290064024986,True,Negative
Step_2a,openai,gpt-4.1-mini,Leadership_Avg,pooled,5760,0.0856266137636789,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.1098402777777767,0.0268525028538705,-4.090504277218403,4.363121175615105e-05,-0.1624812855137564,-0.0571992700417971,True,Negative
Step_2a,openai,gpt-4.1-mini,Performance_Score,pooled,5760,0.3983001381512147,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0465277777777707,0.0297256905662918,-1.5652379100834737,0.1175821072410487,-0.104801314348011,0.0117457587924696,False,Negative
Step_2a,openai,gpt-4.1-mini,Status_Score,pooled,5760,0.2797139264261387,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.2166666666666638,0.0224090281405975,-9.668722146594876,6.008611823371769e-22,-0.2605967922912459,-0.1727365410420816,True,Negative
Step_2a,openai,gpt-4.1-mini,Warmth_Score,pooled,5760,0.1261998245229225,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0847222222222226,0.0231088304676387,-3.6662271741041335,0.0002483742484111,-0.1300242236794562,-0.039420220764989,True,Negative
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Competence_Score,pooled,5760,0.100331146852258,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0979166666666663,0.0164159360886066,-5.964732448893036,2.59614875799393e-09,-0.1300980772166006,-0.065735256116732,True,Negative
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Fit_Score,pooled,5760,0.0679360986718863,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0729166666666648,0.0284646410467767,-2.5616576912682234,0.0104426398665815,-0.1287180717609865,-0.0171152615723431,True,Negative
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Hireability_Score,pooled,5760,0.121536135877834,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0722222222222155,0.031279804376913,-2.3089090120883657,0.0209838783974653,-0.1335424065322478,-0.0109020379121833,True,Negative
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Leadership_Avg,pooled,5760,0.0997102529999975,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.2060972222222221,0.0442861292199859,-4.653764640356336,3.3323449623005884e-06,-0.2929146963158835,-0.1192797481285606,True,Negative
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Performance_Score,pooled,5760,0.0699465135890665,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0680555555555537,0.0274051452904769,-2.4833130725711743,0.0130449237761079,-0.1217799503761169,-0.0143311607349904,True,Negative
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Status_Score,pooled,5760,0.0798100400836693,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0624999999999937,0.0243329442407179,-2.5685342218229468,0.0102379502533153,-0.1102017249745864,-0.014798275025401,True,Negative
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Warmth_Score,pooled,5760,0.032863435268548,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.022222222222225,0.0258485604713486,0.8597083093604703,0.3899856566197563,-0.0284506807522576,0.0728951251967076,False,Positive
Step_2a,qwen,qwen3.7-plus,Competence_Score,pooled,5760,0.1271738313188959,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0562500000000035,0.0230655804544993,-2.438698653648276,0.0147702778475235,-0.1014672151604571,-0.0110327848395498,True,Negative
Step_2a,qwen,qwen3.7-plus,Fit_Score,pooled,5760,0.2030903593462011,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.1118055555555574,0.0325861928947982,-3.4310714331223715,0.0006054298722472,-0.1756867528352346,-0.0479243582758802,True,Negative
