Analysis_Step,Model_Provider,Model_Name,Outcome,Prompt_Version,Formula,N,Df_Model,Df_Residual,R_Squared,Adjusted_R_Squared,F_Statistic,F_P_Value,AIC,BIC,Log_Likelihood,Term,Coefficient,Std_Error,T_statistic,P_Value,CI_Lower,CI_Upper
Step_2a,openai,gpt-4.1-mini,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.3867338757248596,0.38641424431887883,1209.9370352489823,0.0,9326.023655276367,9352.658426291127,-4659.011827638184,Intercept,4.409722222222206,0.014322347969033939,307.8910128252978,0.0,4.381645032012481,4.437799412431931
Step_2a,openai,gpt-4.1-mini,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.3867338757248596,0.38641424431887883,1209.9370352489823,0.0,9326.023655276367,9352.658426291127,-4659.011827638184,C(CV_framing)[T.Communal],-0.21805555555556455,0.02025485874283484,-10.76559250914064,8.987443555462004e-27,-0.2577626987434874,-0.1783484123676417
Step_2a,openai,gpt-4.1-mini,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.3867338757248596,0.38641424431887883,1209.9370352489823,0.0,9326.023655276367,9352.658426291127,-4659.011827638184,C(Seniority_level)[T.Senior-Level],-0.789583333333327,0.020254858742834694,-38.98241618755539,3.356385104506039e-295,-0.8292904765212495,-0.7498761901454044
Step_2a,openai,gpt-4.1-mini,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.3867338757248596,0.38641424431887883,1209.9370352489823,0.0,9326.023655276367,9352.658426291127,-4659.011827638184,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.06944444444443755,0.028644695938068593,-2.42433868366347,0.015366891314243332,-0.12559882486388907,-0.013290064024986031
Step_2a,openai,gpt-4.1-mini,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2850203915661105,0.2846477475728336,764.8597500787921,0.0,7111.4928951169095,7138.12766613167,-3551.7464475584547,Intercept,3.4277777777777576,0.011817571564563097,290.0577127077872,0.0,3.4046108916392095,3.4509446639163057
Step_2a,openai,gpt-4.1-mini,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2850203915661105,0.2846477475728336,764.8597500787921,0.0,7111.4928951169095,7138.12766613167,-3551.7464475584547,C(CV_framing)[T.Communal],-0.19444444444444875,0.016712569980920005,-11.634622602414668,6.086351798790888e-31,-0.22720736901953734,-0.16168151986936016
Step_2a,openai,gpt-4.1-mini,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2850203915661105,0.2846477475728336,764.8597500787921,0.0,7111.4928951169095,7138.12766613167,-3551.7464475584547,C(Seniority_level)[T.Senior-Level],-0.46250000000000135,0.016712569980919884,-27.673780904314555,2.275745865398752e-158,-0.4952629245750897,-0.429737075424913
Step_2a,openai,gpt-4.1-mini,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.2850203915661105,0.2846477475728336,764.8597500787921,0.0,7111.4928951169095,7138.12766613167,-3551.7464475584547,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.09444444444444001,0.02363514312912678,-3.9959328330891872,6.52446712448296e-05,-0.14077821672153756,-0.04811067216734248
Step_2a,openai,gpt-4.1-mini,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.3947628406469239,0.39444739389951966,1251.4405169660845,0.0,10132.318412696588,10158.953183711348,-5062.159206348294,Intercept,4.400694444444425,0.01536069504112825,286.49058084035704,0.0,4.370581703338301,4.430807185550549
Step_2a,openai,gpt-4.1-mini,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.3947628406469239,0.39444739389951966,1251.4405169660845,0.0,10132.318412696588,10158.953183711348,-5062.159206348294,C(CV_framing)[T.Communal],-0.2256944444444524,0.02172330325464103,-10.389508529106152,4.604820939755825e-25,-0.26828029131696324,-0.1831085975719416
