Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Provider,Mean,Std_Dev,Sample_Size
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Hireability_Score,anthropic,3.6,0.5632,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Hireability_Score,google,4.6333,1.0334,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Hireability_Score,openai,4.0667,0.3651,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Hireability_Score,openrouter,5.0,0.2626,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Competence_Score,anthropic,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Competence_Score,google,3.7333,0.4498,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Competence_Score,openai,3.1,0.3051,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Competence_Score,openrouter,3.9667,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Fit_Score,anthropic,3.3667,0.5561,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Fit_Score,google,4.5667,1.0726,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Fit_Score,openai,4.0667,0.3651,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Fit_Score,openrouter,5.9667,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Performance_Score,anthropic,3.5,0.5724,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Performance_Score,google,4.7667,0.8584,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Performance_Score,openai,4.0667,0.3651,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Performance_Score,openrouter,5.9667,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Leadership_Avg,anthropic,1.9,0.3051,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Leadership_Avg,google,2.1333,0.6288,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Leadership_Avg,openai,2.1333,0.3457,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Leadership_Avg,openrouter,3.8023,0.3555,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Status_Score,anthropic,2.5,0.5724,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Status_Score,google,3.4667,0.6288,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Status_Score,openai,2.9667,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Status_Score,openrouter,4.9667,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Warmth_Score,anthropic,2.7333,0.4498,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Warmth_Score,google,3.0667,0.2537,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Warmth_Score,openai,3.1,0.3051,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Agentic,USA,Warmth_Score,openrouter,3.0333,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Hireability_Score,deepseek,2.3333,0.5467,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Hireability_Score,minimax,2.2667,0.5208,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Hireability_Score,qwen,2.9333,0.3651,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Hireability_Score,tencent,3.2667,0.5208,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Competence_Score,deepseek,2.1333,0.3457,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Competence_Score,minimax,2.0333,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Competence_Score,qwen,2.2333,0.4302,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Competence_Score,tencent,2.4667,0.5074,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Fit_Score,deepseek,2.3333,0.6065,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Fit_Score,minimax,2.2333,0.4302,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Fit_Score,qwen,2.7667,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Fit_Score,tencent,3.2333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Performance_Score,deepseek,2.5667,0.6261,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Performance_Score,minimax,2.3,0.535,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Performance_Score,qwen,2.9333,0.3651,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Performance_Score,tencent,3.2667,0.5208,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Leadership_Avg,deepseek,1.589,0.5584,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Leadership_Avg,minimax,2.0433,0.1888,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Leadership_Avg,qwen,2.0333,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Leadership_Avg,tencent,1.9667,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Status_Score,deepseek,1.9667,0.4901,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Status_Score,minimax,2.1333,0.3457,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Status_Score,qwen,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Status_Score,tencent,2.2333,0.4302,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Warmth_Score,deepseek,2.6667,0.6065,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Warmth_Score,minimax,2.9667,0.4901,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Warmth_Score,qwen,3.1,0.3051,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,China,Warmth_Score,tencent,3.3,0.4661,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,EU,Hireability_Score,mistral,3.6333,0.5561,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,EU,Competence_Score,mistral,2.9,0.4026,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,EU,Fit_Score,mistral,4.0333,0.6149,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,EU,Performance_Score,mistral,4.0,0.5872,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,EU,Leadership_Avg,mistral,2.6,0.5632,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,EU,Status_Score,mistral,3.0667,0.5208,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,EU,Warmth_Score,mistral,3.3333,0.5467,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,SEA,Hireability_Score,sealion,3.6667,0.5467,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,SEA,Competence_Score,sealion,2.9333,0.2537,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,SEA,Fit_Score,sealion,4.6,0.5632,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,SEA,Performance_Score,sealion,3.9,0.4807,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,SEA,Leadership_Avg,sealion,2.0217,0.1732,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,SEA,Status_Score,sealion,2.9667,0.3198,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,SEA,Warmth_Score,sealion,3.0,0.5252,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Hireability_Score,anthropic,3.1333,0.4342,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Hireability_Score,google,4.4,0.9322,30
