Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Normality_p_value,Levene_p_value,Assumptions_Passed
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Performance_Score,8.605978488321728e-09,0.5301843399047586,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Leadership_Avg,4.432146465667962e-09,0.002288253841304794,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Status_Score,1.7832852553163528e-10,0.07442684984263773,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,USA,Warmth_Score,0.0,0.008305553503756717,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Hireability_Score,0.0,3.702481260734488e-05,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Competence_Score,7.766376725845856e-12,0.08214607140933508,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Fit_Score,7.766376725845856e-12,0.0001163056264685748,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Performance_Score,0.0,5.615779445517671e-06,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Leadership_Avg,0.0,0.0010715500250554622,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Status_Score,0.0,7.888715963213384e-06,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,China,Warmth_Score,7.766376725845856e-12,0.028519829302203183,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Hireability_Score,1.1276526727470863e-09,0.15836702621240833,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Competence_Score,0.0,0.00718733546154316,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Fit_Score,5.981489887632116e-10,0.06313758429932055,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Performance_Score,1.1276526727470863e-09,0.06207882755678539,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Leadership_Avg,1.803187030677128e-10,0.005150657676857585,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Status_Score,4.4017198651534915e-11,0.13636330783903466,False
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Communal,USA,Warmth_Score,4.4017198651534915e-11,1.3154802335173113e-07,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Hireability_Score,2.106946320370521e-07,0.03826755173315294,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Competence_Score,4.4017198651534915e-11,5.8112882336294375e-05,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Fit_Score,2.0942965174732514e-08,0.031080466476429633,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Performance_Score,4.432146465667962e-09,0.00034913817567115886,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Leadership_Avg,1.7832852553163528e-10,0.00035537306653953145,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Status_Score,5.981489887632073e-10,0.011576959768120945,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,China,Warmth_Score,7.766376725845942e-12,2.811955258480561e-05,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Hireability_Score,4.4321464656679935e-09,0.05782748570258656,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Competence_Score,0.0,0.0001998369192317575,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Fit_Score,7.766376725845942e-12,4.052615465232248e-05,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Performance_Score,7.766376725845942e-12,0.00039005814422821524,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Leadership_Avg,7.766376725845856e-12,0.03841442436188,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Status_Score,7.766376725845942e-12,7.095199354739508e-06,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Warmth_Score,0.0,0.061661204799141105,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Hireability_Score,1.1502053382187131e-07,0.031348166093977996,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Competence_Score,5.981489887632116e-10,0.16651391173941169,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Fit_Score,1.6113376494592636e-06,0.10422410402068763,False
